Installation_Region,Turbine_Model,Gen_Avg_RPM,Gen_Output_Voltage,Gen_Coil_Temp,Grid_Frequency_Hz,Rotor_Blade_Angle_1,Rotor_Blade_Angle_2,Rotor_Wind_Speed,Rotor_Shaft_Vibration,Rotor_Shaft_Vibration_Redundant,Hydraulic_Oil_Pressure,Hydraulic_Oil_Temp,Hydraulic_Tank_Level,Gearbox_Bearing_Temp,Gearbox_Vibration_X,Gearbox_Vibration_Y,Amb_Ext_Temp,Amb_Humidity,Amb_Wind_Turbulence,Tower_Oscillation,Tower_Fatigue_Index,System_Efficiency_Calc,Operational_Status
South_Plains,Turbine_Model_C,1.8212580691624616,0.9103950213797538,0.459186256473598,-1.0307110311215757,2.098086773141945,1.9211478332630645,-1.737788510241722,-2.6573093103705814,-2.6573093103705814,-0.4913273121947029,0.7827383880181414,-2.307909325903693,1.8970519571948412,-1.3949810377382303,4.431102273723683,0.6991206143647132,-1.4456385323583942,2.3482576450560533,0.6523870528132572,-0.3741796081043028,0.3618281001145053,2
South_Plains,Turbine_Model_B,4.2297671082534585,-0.4344688743168761,4.726087019297,0.9955523412040947,-3.966756182011717,2.4443600510069485,0.848825978037555,-3.3089833835880027,-3.3089833835880027,0.7077388257138288,-1.066421712217654,-0.9522100813324844,-5.080912338831185,-1.5268284917020778,0.8635139740300845,0.0322099133214677,-0.0472615361474435,0.1935903469152142,1.075823233146704,0.1819499519561678,3.457471640679348,2
High_Mountains,Turbine_Model_D,0.8604882224207313,0.9845645285662596,0.0429466910566389,-0.3655196728891452,-4.94730334019515,-0.5747804749523164,2.2284630852415663,-2.3124839371762533,-2.3124839371762533,-0.1194553648839944,0.8935922012530014,1.9067066149698584,-5.960220238586376,-2.2207602343741457,-3.3232796900118133,-1.3485692809098095,0.282363914410232,3.002487187099184,0.3430672248710338,-0.4612407737249662,-0.0462759147364066,1
South_Plains,Turbine_Model_D,1.5032846953664958,1.7698411766252382,1.3071904512915535,1.3093114497693812,1.1692514767672584,0.5145639311661308,0.6746701414646277,0.8471470483335547,0.8471470483335547,-3.1772296968883227,-0.6383249244336198,-0.3987442946657768,-1.0403730001906073,-1.001200739385125,3.293376559903171,0.1176727687694774,1.1029333254515103,1.3476023035779383,-0.6447887138489281,1.4426182204604852,1.055785587261044,1
High_Mountains,Turbine_Model_B,-0.0190552192220306,-1.5690768784348532,-0.8248059652923446,2.347601983215349,-1.001120781246219,0.3234519023771615,-1.5440610110848307,-1.1989187746182068,-1.1989187746182068,-2.3370102863531215,0.1256488233096772,-1.6983422208575885,3.031139685074921,0.5846215484440581,4.140136931690048,-0.1740624853152476,0.2300079871663962,1.357895735761467,1.4100823059343512,-0.5552382628541033,0.6885099762215615,0
South_Plains,Turbine_Model_C,2.4192953601365885,-1.2161894417329693,0.6551207818359075,-0.5853369985207919,-1.6834403260846624,-0.3735227672731208,-2.695505870980936,-0.8550765210112453,-0.8550765210112453,-3.706820875033505,1.6102558097332749,1.0999772571949664,-1.1818822666514623,-0.101939643411003,1.3177024221063176,7.709563736160975,-0.2123578984852084,0.1615244396280176,0.374664566197459,-0.6077668099808047,-0.6508914714871444,0
Interior_Valley,Turbine_Model_C,-1.4618920768157828,-0.6563161072838477,-1.50850379936307,-1.1861189708036823,-3.720683273991618,-0.8068535256410374,1.269318828612835,0.6738631667873471,0.6738631667873471,-2.01350038406668,-0.7568509704540229,-0.6833101148222125,-1.6036761020911303,-0.0254753470195907,-3.359116435926797,-0.4264116015798943,1.4070491456651033,1.3288940366504798,-0.2218835040026079,-2.5183739352733348,-0.7905781174421851,1
South_Plains,Turbine_Model_C,2.049724726020347,-0.5026267315424651,2.8959570072808214,0.8443214712416021,0.0697024439366658,-0.2864046621387655,0.6539463329851498,-1.9795871708167028,-1.9795871708167028,-1.833826041454094,1.721718864489964,-0.7722493219788839,-2.2043825697551847,0.9017084671552053,3.6055767173991464,1.8735820636713,0.34383065220651,1.9737201508822244,-0.6433242954667128,0.5633090318038714,0.1053341744328899,0
North_Coast,Turbine_Model_B,-1.8621328372294537,-0.2604878571096833,-3.4136331549860213,1.852591362951378,2.493374203058022,0.5207100762645351,1.465831384210443,0.0959679187553976,0.0959679187553976,1.2051560349124448,0.8628873441335563,-0.6215821396090979,4.596268920410028,0.3471960476005826,1.7330175052425578,-5.354596948605335,0.4406462717320075,0.4786560730447408,-0.2333910604694981,0.2289262293534473,-2.0645202009268737,0
South_Plains,Turbine_Model_C,1.596107525550095,0.4088518538077846,2.3788783399472564,1.0322256249780473,1.5267198712252368,2.491424351879927,-0.9749217266387776,1.563954225912002,1.563954225912002,0.8826033900331389,-2.2201616258647943,-0.6747413181108907,-0.3662773444745898,1.5762997930067484,2.663646432865156,0.1205040930169667,0.427893344986566,2.015047785610836,-1.745660988921715,-0.8984961687629268,2.3194823454875135,0
North_Coast,Turbine_Model_C,-1.5395885718040976,0.9426073136450824,-1.5205985308608243,-2.4165664076999644,1.1746504049649773,-2.2363310627249127,-0.8177936796399321,-1.5065625469931956,-1.5065625469931956,-0.2035660967315978,-0.8234424197560856,-0.8066408134468149,1.3971661557980646,0.7787131513492358,0.7816777381798601,-0.7300178953713096,0.9406573237253718,2.1495707635621493,0.5783407420763809,0.6340566356490597,-1.528151870909864,2
